id,title,address,phone,district_id
21,Неполная средняя школа № 90,Орокская б/н(жилмассив Орок),+(996 312)473733 ,1
22,Средняя школа № 93,"жилмассив Арча-Бешик,ул.Мин-Куш",+(996 312)444340 / 41/42 ,1
23,Средняя общеобразовательная школа № 2,"720001 Пушкина, 125",+996(312)657936 +996(312)613984/3420 +996(555)077888 ,1
24,Средняя общеобразовательная школа № 7,"720007 Матыева, 21",+996(312)658960 +996(543)010910 ,1
25,Средняя общеобразовательная школа № 8,"720010  б. Молодая Гвардия, 10",+996(312)654641 +996(312)654670  ,1
26,Средняя общеобразовательная школа № 58,720016 Восточная 2,+996(312)550070 +996(312)417899 +996(555)956010      ,1
27,Школа рабочей молодежи № 10,720054 Трудовая 11/3,+996(312)659425 ,1
28,Школа-гимназия № 72 им.А.Сыдыкова,мкрн. Джал,"+996(312)255595 +996(312)255633  , ",1
29,"ОсОО Образовательный центр ""Детская академия - Росток""","ул.Жумабека, 20",  ,1
30,"ОУ Начальная школа ""Арча-Бешик""","жилмассив Арча-Бешик, ул.Сары-Булун, 28",  ,1
31,"Образовательное учреждение ""Усенов и его дети""","мкрн.Джал-29, 10-7; ",  ,1
32,"""Начальная школа - Султан""","ул.Киевская, 187",  ,1
33,"ОсОО ""Образовательный центр ""ДАР""""","ул. Деповская, 5а",  ,1
34,Средняя школа №3,5 м-р/н д.42/2,+(996 312)516304; +(996 777)915000 ,2
35,Учебно-воспитательный комплекс шклы-гимназии  №20,7 м-р/н 7-д.5а,"+(996 312)575140, +(996 555)186681 ",2
36,Средняя общеобразовательная школа № 39,6 мкр д.4/1,"+(996 312)426982, +(996 772) 605560 ",2
37,Гимназия-комплекс №26,ул.Койбагарова 35 ,"+(996 312)576692, +(996 772)008554, ",2
38,Школа-гимназия №37,"Ул.Скрябина 52, Белорусское 37 (нач шк)","+(996 312)570452, +(996 772)221400, ",2
39,Средняя школа №60,"ул. Ахунбаева,62","+(996 312)514177; +(996 772)255217 , ",2
40,Специальная (вспомогательная) школа №34,5 м-р/н д.49/1,+(996 312)515889 ,2
41,Школа-гимназия школа № 64,8м-н,+(996 312) 571439 ,2
42,Средняя школа №71 им.Т.Молдо,12мкр д.46,"+(996 312) 521792, +(996 553) 305743 ",2
43, Учебно-воспитательный комплекс школы-гимназии № 62, Суеркулова 8,"+(996 312)269003, +(996 312)269014, ",2
44,Средняя общеобразовательная школа № 73,Мкр.Тунгуч,"+(996312)447693, +(996543)135625  ",2
45,Средняя общеобразовательная школа № 91,ул.Оберона б/н,46-48-62  ,2
46,Средняя школа №88,Ул. Куйручук б\н,"+(996312)539176, 539177, ",2
47,"Общеобразовательный комплекс ""Саторис""","3мкрн., 29\2",  ,2
48,ВШ 34,"720073, 5-д.49/1",+996(312)515889 +996(772)526565  ,2
49,ЦОМ-7,"720005, Ул.Элебаева 49","+996(312)544467, +996(773)162217 ",2
50,Частно-государственная еврейская школа,"4 микрорайон, №36",+996(312)510881 ,2
51,"Образовательный комплекс ""Илим""","г.Бишкек,  ул.Душанбинская, 6Б",  ,2
52,"Международная школа ""Silk Road""","11 мкр., ул. Г. Айтиева, 7а",   ,2
53,"Образовательный комплекс ""Келечек - школа будущего""","8 мкрн., 36",576428,2
54,"Учебно-воспитательный комплекс ""Ак-Бала""","ул.Элебаева, 5а",  ,2
55,"УВК ""Ариель""","3мкрн.19а, ж\м ""Колмо"", ул.Курулуш, 75",  ,2
56,"Учреждение ""Общеобразовательный комплекс ""Светоч плюс""","3мкрн., 29",  ,2
57,Институт интеллектуального развития,"ул.Чалдоварская, 91А",  ,2
58,"Частная школа ""Таалим""","г.Бишкек, 4мкрн., 58",  ,2
59,Лицей инновационных технологий при Бишкекском колледже компьютерных систем и технологийишкекском колледже компьютерных систем и технологий,"ул.Горького, 1/17"," 44-99-13, ",2
60,SOS УВК Германа Гмайнера,"ул.Токтоналиева, 137-а",545203,2
61,"ОсОО ""Детско-юношеская Академия Тенниса""","ул.Исакеева, 4",  ,2
62,"НОШ ""Начальная школа-Икъра""","мкр. Кок-Жар, ул. Босого, 84",  ,2
63,"Учреждение ""Учебно-воспитательный комплекс ""Рефал""""","ул. Токомбаева, 31\1",  ,2
64,Средняя общеобразовательная школа № 56,"720060,6 мкр. д.19/1","+996(312)426703 +996(312) 426979, ",2
65,Учебно-воспитательный комплекс школы-лицея №17 им.Пушкина,4 м-р/н д 31/1,"+(996 312)573512, +(996 312)573833, ",2
66,Школа-гимназия № 63 им. Чынгыза Торокуловича Айтматова,11 м-р/н  6-д.9/1,"+(996 312)52-24-38, ",2
67,Средняя школа №18,п. Карагайский 1,+(996 312)370405; +(996 555)928216 ,3
68,Экспериментальная средняя школа №19, ул. Кулиева 187а,+(996 312)340695; +(996 772)276059 ,3
69,Школа гимназия №24,Тыныстанова 110,+(996 312)663717;+(996 772)407235 ,3
70,Школа  лицей №28,ул. Панфилова 159,+(996 312)300849; +(996 555)507828 ,3
71,Школа-комплекс гимназия №29,ул. Горького 144,+(996 312)542042; +(996 550)111277 ,3
72,Экспериментальная средняя школа №27,ул. Жумабека 147,+(996 312)663252; +(996 772)540917 ,3
73,Средняя школа №41, ул. Азовская ,+(996 312)241392; +(996 555)926289 ,3
74,средняя общеобразовательная школа№15,"ул. Каракумская, 6",+(996 312)656036; +(996 543)033930 ,3
75,Школа гимназия № 48,ул. Малдыбаева 3,"+(996 312)545836; +(996 312) 545835, ",3
76,Средняя общеобразовательная школа № 49,9 января № 1,+(996 312)654133 ,3
77,"Учебный комплекс,авторская физико-математическая школа-лицей № 61","Малдыбаева 10, 720050",+(996 312) 545764 ,3
78,Средняя общеобразовательная  школа № 81,ж\м Ак-Босого ул.Профессор Зима 220,+(996 312) 678282; +(996 555) 080581 ,3
79,Средняя общеобразовательная  школа № 83,ж\м Касым ул.Патрисия Лумумбы,+(996 312) 309074 ,3
80,"Учебно-воспитательный комплекс,гимназия № 69 им.Т.Сатылганова","Фатьянова 10,Айни 13","+(996 312)590943, ",3
81,школа-гимназия № 78,"жилмассив Колмо,Кенеш 45/1",+(996 312) 328773 ,3
82,Гимназия-комплекс № 70,"Боконбаева 153,720017","+(996 312) 315892, ",3
83,Средняя общеобразовательная  школа №54,Фучика 76,+(996 312)345171 ,3
84,Средняя общеобразовательная школа - лицей № 75,Баялинова 124,+(996 312) 320117;+(996 312) 320118 ,3
85,Неполная средняя школа № 86,ж\м Калыс Ордо,+(996 312) 691783 ,3
86,Средняя общеобразовательная школа № 58,"Восточная 2, 720016","+(996 312)550070,+(996 312)417899,+(996 555)956010 ",3
87,Специальная общеобразовательная школа-интернат для слепых и слабовидящих детей,"720055   Ул. Кулатова, 37",+996(312)590077 ,3
88,Республиканская школа-интернат для глухих детей,"770022   ул. Кольбаева,  25",+996(312)335646 +996(312)335975 +996(772)156946 ,3
89,"Образовательный комплекс - гимназия ""Эврика""","г.Бишкек, ул.Байтик Баатыра, 36а",996312916551,3
90,"Средняя общеобразовательная школа ""Давха""","ул.Волгоградская,67",  ,3
91,"Президентская детская академия ""Алтын шаты"""," ул.Манаса, 1",  ,3
92,"Школа классического образования ""Абитуриент""",пр. Мира 12,  ,3
93,"""Иранская школа им.Имама Хомейни""","ул.Орозбекова, 39",  ,3
94,Школа Святого Равноапостольного Великого князя Владимира,"ул.Жибек-Жолу, 497",  ,3
95,"Профильный лицей ""Интеллект плюс""","ул.Абая, 6\1",  ,3
96,"Образовательный центр ""Лицеист ЮНИ""","ул.Абая, 77",  ,3
97,"ОФ ""European School in Central Asia"" (Юропиэн Скул ин Сентрал Эйжа)","пр. Чуй, 104",  ,3
98,Учебно-воспитательный комплекс с гимназическим образованием №6, б.Эркиндик 20," +(996 772)507606, ",3
99,Специальная вспомогательная школа № 30,"Чуй 76-а, 720000",+(996 312)685139 ,4
100,Средняя общеобразовательная школа № 56,6мкр д.19/1,"+(996 312)426703, +(996 773)350298 ",4
101,Средняя общеобразовательная школа № 16,"Широкая 2-а,720019",+(996 312)679092 ,4
102,Средняя общеобразовательная № 11,"Московская 54, 720021",+(996 312)432568 ,4
103,Средняя общеобразовательная школа № 35,Логвиненко 157,+(996 312)373819 ,4
104,Средняя общеобразовательная  школа № 32,"Дубосековская, 39-а",0 (312) 677368 ,4
105,Школа-гимназия №4,"ул.Огомбаева,207",312435877,4
106,Учебно-воспитательный комплекс гимназия №23,"Жибек-Жолу, 281",+(996 312)482030 ,4
107,Средняя общеобразовательная школа  № 21,"жилмассив Эне-Сай,720051",0,4
108,Средняя общеобразовательная школа № 89,"н/с Учкун,Мин-Булак",+(996 312)428808 ,4
109,Учебноөвоспитательный комплекс № 38,"Аламедин 1,720083","+(996 312)631251, ",4
110,Средняя общеобразовательная школа № 87,"жилмассив Келечек,720015",+(996 312)678668 ,4
111,Средняя общеобразовательная школа №46,ул. Сеченова 46,+(996 312) 379183 ,4
112,Неполная средняя общеобразовательная школа №43,ж\м Ак-Бата 7-54,+(996 312) 473239 ,4
113,Средняя общеобразовательная школа № 52,ул.Акылбекова 68,+(996 312)533553 ,4
114,Средняя школа №45,ул. Салиева 186,"36  86  31    36  86    34, ",4
115,Средняя общеобразовательная школа №85,ул. Бакай Ата,"+(996 312) 480056, +(996 312) 480069 ",4
116,Средняя школа №51,ул. Буденого 134,0,4
117,Профессиональный техникум № 76,Жибек-Жолу 272,+(996 312)380207 ,4
118,Бишкекский кыргызско-турецкий мужской лицей им.Ч.Айтматова,"г.Бишкек, ул.Широкая, 1а"," 679004, 679182, 679029, ",4
119,"Бишкекский кыргызско-турецкий  женский лицей ""Айчурок""","г.Бишкек, мкрн.Аламедин-1",  ,4
120,"Образовательный центр ""Эколь""","г.Бишкек, мкр.Аламедин-1, Бытовой комплекс ""Аламедин-1""",  ,4
121,"Частная школа ""Талант""","мкр-н Восток 5, д/с №169",  ,4
122,"Образовательное учреждение ""Алтын Башат""","ул.Гоголя, 107",  ,4
123,"Школа-комплекс ""Звездочка""","ул.Токтогула, 75",  ,4
124,"Частный образовательный комплекс ""Одаренный ребенок""","ул.Суюмбаева, 14а",  ,4
125,Авторская школа-комплекс,"мкрн.Аламедин-1, 76\1",  ,4
126,"Учреждение ""Образовательный комплекс ""Rainbow"""" (Реинбоу)","пр. Чуй, 4в",  ,4
127,"Неполное общеобразовательное учреждение ""Сейтек""","ул. Горького, 1/8",  ,4
128,Учебно-воспитательный комплекс с гимназическим образованием № 67,ул. Боконбаева 16,+(996 312) 386661 ,4
129,Эколого-экономический лицей №65,Гоголя 59,+(996 312) 437943 ,4
130,школа-гимназия № 51,ул.Буденого 134,"36-74-02, 36-72-34, ",4
131,Средняя общеобразовательная школа № 53,ул.Литовская 91,0 312688466 ,4
132,Средняя общеобразовательная школа  №1 ,м-н Аламедин -1 ,+(996 312)632283 ,4
133,"Гимназия Учебно-воспитательный комплекс ""Школа здоровья и развития""№66""Школа здоровья и развития"" № 66","мкр.Восток-5,720065","+(996 312)688392, ",4
134,Учебно-воспитательный комплекс школы-гимназии 12,пр.Чуй 56,966437488,4
135,Средняя общеобразовательная школа № 10,"Усенбаева,164","+(996 312)305168, ",4
136,Средняя общеобразовательная школа № 1,723503,"+996(3222)37057, ",5
137,Школа-гимназия № 2 им.К.Маркса,"723503,ул.Ташкентская",+996(553)251452 ,5
138,Средняя общеобразовательная школа № 3,ул.К.Датка 97,"+996(3222)23833,+996(772)679193 ",5
139,Средняя общеобразовательная школа № 4,723510,"+996(3222)24281,+996(773)275171 ",5
140,Школа -гимназия №5 имени Ж.Боконбаева,Исанова б/н,"+996(3222)42434+996(555)123748, ",5
141,Средняя общеобразовательная школа № 6,"723000,  пр. Масалиева, № 48 ","+996(3222)39012, +996(772)367050 ",5
142,Школа-гимназия № 7 имени Нариманова," 723500, Ошская 75",+996(3222)30888 ,5
143,Средняя общеобразовательная школа № 8,"723504,пр.А.Масалиева 84","+996(3222)27448,+996(555)872775, ",5
144,школа гиназиия № 9 имени А.Рудаки,"714000,ул.Низами б/н","+996(3222)55711,+996(553)390039 ",5
145,Средняя общеобразовательная школа № 10,714000,"+996(3222)55711,+996(553)390039 ",5
146,Средняя общеобразовательная школа № 11,"723516,ул.Байтемирова 1",322226214,5
147,Вспомогательная школа № 12,"723500,пр.А.Масалиева 14а","+996(3222)30821,+996(555)815907 ",5
148,Средняя школа № 14 имени Каныбек Алтыбаева,"723505,мкр.Кулатова б/н","+996(3222)63064,+996(552)915627 ",5
149,Средняя общеобразовательная школа № 15,"714015,ул.Ленина б/н","+996(3222)24557,+996(555)141314 ",5
150,Средняя общеобразовательная школа № 17,ул. Ленина 294,"+996(3222)23660,+996(559)919668 ",5
151,Школа гимназия  №16 имени 40 лет Кыргызстана," 714000,ул.Атабаева 36","+996(3222)50193, +996(555)119925, ",5
152,Средняя общеобразовательная школа № 18,"714000,проспект",+996(3222)38785 ,5
153,Средняя общеобразовательная школа № 19,723500 ул.Хабиба Абдулла 50,"+996(3222)22517, ",5
154,Средняя общеобразовательная школа № 20,"72350,ул.Урицкого,2","+996(3222)24744, ",5
155, Школа - гимназия имени С. Шарипова  №  22,"714009,пр.А.Масалиева 23","+996(3222)87626,+996(554)810604 ",5
156,Школа-гимназия № 23,ул.Г.Айтиева 21,"+996(3222)22384,+996(3222)56902,+996(553)054424, ",5
157,Средняя общеобразовательная школа № 24,"714000,ул.Ошская 71","+996(3222)36830,+996(772)428405 ",5
158,Средняя общеобразовательная школа № 25,714000,+996(777)335090 ,5
159,Средняя общеобразовательная школа № 26,"714012,ул Толонова №75","+996(3222)41802,+996(554)202032 ",5
160,Средняя  школа №27 имени XXIV партсьезда,"714009,ул.Салиева 19","+996(3222)30389,+996(554)606111 ",5
161,Средняя общеобразовательная школа № 30,"723502,ул.Малабекова","+996(3222)69369,+996(553)509635 ",5
162,с.ш.с гимназическими классами №31 имени Курманжан датки ,Мамыров 170,"+996(3222)60464,+996(550)097202 ",5
163,Средняя школа № 32 имени Жолон Мамытова,ул.Ж.Мамытова б/н,"+996(3222)47404,+996(777)556661 ",5
164,Средняя общеобразовательная школа № 33,"723502,ул.Конур-Жаз б\н",+996(552)150460 ,5
165,Средняя общеобразовательная школа № 34,"723502, Орке 7","+996(3222)69283,+996(772)665719 ",5
166,Средняя общеобразовательная школа № 35,ул.Аттакурова 81,"+996(3222)60390,+996(773)822537 ",5
167,Средняя общеобразовательная школа № 36,ул.М.Абжалова б/н,"+996(3222)46219,+996(555)854008 ",5
168,Средняя общеобразовательная школа № 37,ул.Н.Садиева,+996(3222)47040 ,5
169,Средняя общеобразовательная школа № 38,"714009,ул.Салиева б/н","+996(3222)31725,+996(773)600452 ",5
170,Средняя общеобразовательная школа № 39,"723504,ул.Мадумарова 85","+996(3222)71028,+996(555)256222 ",5
171,Средняя общеобразовательная школа № 40,"714014,Аэропорт",+996(555)949721 ,5
172,Средняя школа № 41 им. Х. Абдуллаева ,"714012,ул.Королева 40","+996(3222)52663,+996(550)755252 ",5
173,Средняя общеобразовательная школа № 42,"723500,ул.мкр.Тулейкен","+996(3222)64544,+996(773)066102 ",5
174,Средняя общеобразовательная школа № 43,"714015,ул.Т.Абдуллаева б/н","+996(3222)76711,+996(555)824624 ",5
175,Средняя общеобразовательная школа № 44,"723503,ул.Целинная 4а","+996(3222)53209,+996(555)895986 ",5
176,Средняя общеобразовательная школа № 45,723502,"+996(3222)46267,+996(772)486329 ",5
177,Средняя общеобразовательная школа 46,"723503,ул.Чаткалская",+996(555)189119 ,5
178,Средняя общеобразовательная школа № 47,"714000,ул.С.Айни 11","+996(3222)37058,+996(551)001418 ",5
179,Средняя общеобразовательная школа № 48,"723000,ул.Каримова","+996(3222)69236,+996(555)550103 ",5
180,Средняя общеобразовательная школа № 49,"728503,Массив Калинина 166 ул. б-н","+996(3222)58921, +996(543)875199 ",5
181,школа гимназия № 50 им П Ж Нышанова,Б.Осмонова б/н,"+996(3222)65788,+996(555)764633 ",5
182,Средняя общеобразовательная школа № 51,"723503,ул.Алга б/н","+996(3222)58895,+996(772)464496 ",5
183,Средняя общеобразовательная школа Илим -Ош,"714003, ул.Петрова б/н",+996(3222)52987 ,5
184,Средняя общеобразовательная Школа Ага Хана,"723510, ул.Курманжан Датка 93","+996(3222)74620,+996(3222)21364, ",5
185," Школа- гимназия "" Олимп""","723500,ул.Алиева 72а","+996(3222)70601,+996(555)943808, ",5
186,"Ошский лицей ""Сема""",ул. Байтемирова 3,"+996(3222)55147, ",5
187,"Ошский лицей ""Себат""",Ж. Раимбекова ,"+996(3222)55131, ",5
188,специальная общеобразовательная школа-интернат для слепых и слабовидящих детей,"723505,мкр.Торобай Кулатов","+996(3222)63968,+996(3222)65654,+996550)225014, ",5
189,Средняя школа № 29,ул.Юбилейная 2,"322,227,608",5
190,Средняя школа № 52,м/р Ак-Тилек ,4 04 47 ,5
191,"Православная Церковно-Приходская школа ""Светоч""",ул.Курманжан Датка 219,  ,5
192,"Образовательное учреждение ""Грамотей""","ул.Ленинградская, 1а",   ,5
193,"Общественное объединение ""Акылман Бµбµк"" - ""Маленький Гений""","ул. Исанова, 35\21",  ,5
194,Средняя общеобразовательная школа №21,Амир-Тимур,24535,5
195,Средняя общеобразовательная школа Бужун,720111,+996(771)500607 ,6
196,Школа Гимназия Бужун,720111,+996(773)928 348 ,6
197,Средняя общеобразовательная школа Им.С.Эрматова,715111,+996(778)648257 ,6
198,Средняя общеобразовательная школа Кыштут ,715113, +(996 3622) 60017     ,6
199,Средняя общеобразовательная школа им. Ш Токсонова,720111,+996(778)148 618 ,6
200,Средняя общеобразовательная школа им.А.Топчуева,,+(996 3622) 60448 ,6
201,Средняя общеобразовательная школа Им.Д.Акматова,715116,+(996 3622)60002 ,6
202,Средняя общеобразовательная школа Газ ,715117,+(996 3622) 60365 ,6
203,Средняя общеобразовательная школа Таян,,+996(773)734467 ,6
204,Средняя общеобразовательная школа им. Э.Эркебаева ,,+(996 3622) 60538 ,6
205,Средняя общеобразовательная школа Чек,,+(996 3622) 60371 ,6
206,Средняя общеобразовательная школа Жаныжер,,+996(777)284371 ,6
207,Средняя общеобразовательная школа им.Ж.Турусбекова,,________ ,6
208,Средняя общеобразовательная школа им.З. Ормонова,,________ ,6
209,Средняя общеобразовательная школа им.Ж.Эркебаева,,________ ,6
210,Начальная школа Жаныжер,,+996(773) 829 096 ,6
211,Начальная школа Тунуксуу,,________ ,6
212,Средняя общеобразовательная школа им. А.Жоробаева,,+996(773)267389 ,6
213,Средняя общеобразовательная школа Гим Каратокой,,773148921,6
214,Средняя общеобразовательная школа им.Б.Акматова,,+996(770) 527 810 ,6
215,Неполная школа Айгулташ,,+996(777)531116 ,6
216,Средняя общеобразовательная школа им. К.Абдраимова,с. Божой,"553,821,706",6
217,Средняя общеобразовательная школа Рават,,+996(777) 825 558 ,6
218,Средняя общеобразовательная школа им Ж.Момунова,,+996(772) 317 740 ,6
219,Средняя общеобразовательная школа им.Т.Садыкова,,+996(772) 254 010 ,6
220,Средняя общеобразовательная школа им. Б.Ходжаева,,+996(773) 132 524 ,6
221,Средняя общеобразовательная школа им.Ш.Ганы,,+(996 3622) 60496 ,6
222,Начальная школа Учдобо,,+996(773) 785 967 ,6
223,Средняя общеобразовательная школа Зарташ,,+996(777) 850 612 ,6
224,Средняя общеобразовательная школа Чонталаа,,+996(772) 802 956 ,6
225,Средняя общеобразовательная школа им. Токтогула,,+996(770) 343 330 ,6
226,Средняя общеобразовательная школа им Б.Нуралиева,,+996(770) 857 037 ,6
227,Начальная школа Ак оток,,________ ,6
228,Средняя общеобразовательная школа им. Б.Нарматова,,+996(778) 102 101 ,6
229,Начальная школа им.Н.Суйунова,,________ ,6
230,Неполная средняя школа Добо,,+996(777)305614 ,6
231,Средняя общеобразовательная школа им М.Салихова,,________ ,6
232,Средняя общеобразовательная школа им. М.Кадыра,,+996(773)757562 ,6
233,Средняя общеобразовательная школа им. А.Осмонова,,+996(777) 341 776 ,6
234,Школа гимназия им.С.Кожобаева,,+996(777) 599 338 ,6
235,Неполная средняя школа им. Б. Гайипова,,773755163,6
236,Средняя общеобразовательная школа им.Б.Мергенова,с. Кара-Токой,+996(778) 646 207 ,6
237,Основная школа Таш-Тумшук,,________ ,6
238,Начальная школа им.Б Байназарова,,________ ,6
239,Средняя общеобразовательная школа им.А.Масалиева,,________ ,6
240,Средняя общеобразовательная школа им.К.Турмаматова,,________ ,6
241,Средняя общеобразовательная школа им. З. Абдукаримова,715111,+996(555)276 122 ,6
242,Средняя общеобразовательная школа им. К. Тагаева,,+996(770) 409 316 ,6
243,Средняя общеобразовательная школа им.С.Момунова,,________ ,6
244,Средняя общеобразовательная школа им. №7 Фирдавси ,,+996(777) 492 370 ,7
245,Средняя общеобразовательная школа «Орук-Зар» ,,+996(773) 475 213 ,7
246,Средняя общеобразовательная школа им. Торалиева,,+996(777) 315 907 ,7
247,Средняя общеобразовательная школа №19 имени Б.Садыкова,,+996(772) 207 480 ,7
248,Средняя общеобразовательная школа №20 имени О.Маканова ,,+996(778) 080 187 ,7
249,Средняя общеобразовательная школа им О.Абдрахманов,,+996(770) 428 306 ,7
250,Средняя общеобразовательная школа им. Жээнбаева,,+996(777) 115 962 ,7
251,Средняя общеобразовательная школа  «Кызыл-Коргон» ,,+996(770) 519 081 ,7
252,ННеполная средняя школа «Жаштилек» ,,+996(777) 390 886 ,7
253,Средняя общеобразовательная школа им. Горького,,+996(777) 567 943 ,7
254,Средняя общеобразовательная школа «Чукур-Кыштак» ,,+996(773) 041 243 ,7
255,Средняя общеобразовательная школа им. Алыкулова ,,+996(773) 679 927 ,7
256,Средняя общеобразовательная школа «Шыбран»,,+996(773) 983 912 ,7
257,Неполная средняя школа «Орнок» ,,+996(770) 428 460 ,7
258,Неполная средняя школа «Арис» ,,+996(773) 750 485 ,7
259,Средняя общеобразовательная школа им. Шамурзаева ,,+996(770) 249 108 ,7
260,Средняя общеобразовательная школа «Адыр» ,,+996(554) 200 181 ,7
261,Средняя общеобразовательная школа «1-май» ,,+996(773) 413 380 ,7
262,Неполная средняя школа «Моло» ,,+996(772) 499 529 ,7
263,Неполная средняя школа «Жийделик» ,,+996(773) 705 575 ,7
264,Средняя общеобразовательная школа №17 имени А.Масалиева,,+996(777) 088 506 ,7
265,Средняя общеобразовательная школа имени О.Тешебаева ,,0365 -56-00-22 ,7
266,Средняя общеобразовательная школа «Эшме» ,,+996(777) 556 684 ,7
267,Средняя общеобразовательная школа им. Солтонова ,,+996(778) 260 924 ,7
268,Средняя общеобразовательная школа им. Коксал Топтан ,,+996(773) 873 652 ,7
269,Школа-гимназия им. Молдо Нияз ,,+996(773) 690 042 ,7
270,Неполная средняя школа«Аккыя» ,,+996(773) 504 022 ,7
271,Средняя общеобразовательная школа им. Жаныбекова,,+996(550) 804 948 ,7
272,Неполная средняя школа «Кара-Шоро» ,,+996(550) 383 562 ,7
273,Средняя общеобразовательная школа им. Тургунова,,+996(777) 613 263 ,7
274,Средняя общеобразовательная школа «Дыйкан» ,,+996(772) 966 081 ,7
275,Школа гимназия «Охна» ,,+996(773) 736 919 ,7
276,Средняя общеобразовательная школа  «Исфайрам» ,,+996(777) 864 842 ,7
277,Средняя общеобразовательная школа им. Тажибаева  ,,+996(773) 520 837 ,7
278,Средняя общеобразовательная школа «Сары-Алтын» ,,+996(777) 838 756 ,7
279,Средняя общеобразовательная школа им. Темирбаева,,+996(773) 821 748 ,7
280,Средняя общеобразовательная школа им. Саид Баюми ,,+996(777) 332 687 ,7
281,Средняя общеобразовательная школа им. Исакова ,,+996(773) 895 004 ,7
282,Средняя общеобразовательная школа «Айрыбаз» ,,+996(772) 160 828 ,7
283,Средняя общеобразовательная школа им. Саттаров ,,+996(777) 766 349 ,7
284,Средняя общеобразовательная школа «120 лет Орозбекова»,,+996(770) 638 281 ,7
285,Средняя общеобразовательная школа им. Улукбек ,,+996(777) 276 151 ,7
286,Средняя общеобразовательная школа «10 лет Кырг.»,,+996(777) 350 848 ,7
287,Средняя общеобразовательная школа «Арпа-Сай» ,,+996(770) 638 281 ,7
288,Средняя общеобразовательная школа им. Орозбекова,,+996(773) 852 648 ,7
289,Средняя общеобразовательная школа им. Бабур ,,+996(552) 152 116 ,7
290,Средняя общеобразовательная школа им. Козубай ,,+996(778) 610 762 ,7
291,Средняя общеобразовательная школа им. Амир Темур ,,+996(772) 264 512 ,7
292,Средняя общеобразовательная школа им. Мадарипова,,+996(777) 655 380 ,7
293,Неполная средняя школа Т.Исмаилов ,,+996(773) 952 110 ,7
294,Неполная средняя школа им.М.Миталипова,,+996(777) 276 151 ,7
295,Средняя общеобразовательная школа им. Тешеева,,+996(772) 234 513 ,7
296,Средняя общеобразовательная школа «Кулду» ,,+996(772) 849 939 ,7
297,Школа гимназия Айтматова,,+996(777) 175 640 ,7
298,Кадамжайский лицей,,+996(772) 702 109 ,7
299,Средняя общеобразовательная школа №21 «Кан» ,,+996(773) 802 636 ,7
300,Средняя общеобразовательная школа им. Пушкина,,+996(773) 786 189 ,7
301,Средняя общеобразовательная школа им. Айни ,,+996(773) 056 144 ,7
302,Средняя общеобразовательная школа им. Рудаки ,,+996(777) 317 942 ,7
303,Средняя общеобразовательная школа им. Жомий ,,+996(555) 373 660 ,7
304,Средняя общеобразовательная школа им. Рузиматова,,+996(773) 463 442 ,7
305,Средняя общеобразовательная школа им. Навои ,,+996(772) 783 630 ,7
306,Средняя общеобразовательная школа «Дружба»,,+996(772) 106 211 ,7
307,Средняя общеобразовательная школа им. Манасата ,,+996(550) 605 214 ,7
